id,insert_time,create_time,last_modify_time,personid,courseid,clazzid,type,fid
,"	2022-02-03 17:49:47	","	2022-02-03 17:49:47	","	2022-02-03 17:49:47	","	112709080	","	222602451	",,"	createcourse	",1727
,"	2022-02-03 17:49:47	","	2022-02-03 17:49:47	","	2022-02-03 17:49:47	","	112709080	","	222602451	","	50522391	","	createclass	",1727
,"	2022-02-03 23:22:16	","	2022-02-03 23:22:16	","	2022-02-03 23:22:16	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-03 23:22:48	","	2022-02-03 23:22:48	","	2022-02-03 23:22:48	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:23:01	","	2022-02-03 23:23:01	","	2022-02-03 23:23:01	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:25:03	","	2022-02-03 23:25:03	","	2022-02-03 23:25:03	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:25:26	","	2022-02-03 23:25:26	","	2022-02-03 23:25:26	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:26:01	","	2022-02-03 23:26:01	","	2022-02-03 23:26:01	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:26:29	","	2022-02-03 23:26:29	","	2022-02-03 23:26:29	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:26:48	","	2022-02-03 23:26:48	","	2022-02-03 23:26:48	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:26:52	","	2022-02-03 23:26:52	","	2022-02-03 23:26:52	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-03 23:27:04	","	2022-02-03 23:27:04	","	2022-02-03 23:27:04	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-03 23:27:18	","	2022-02-03 23:27:18	","	2022-02-03 23:27:18	","	112709080	","	222602451	",,"	editcard	",1727
,"	2022-02-04 10:18:12	","	2022-02-04 10:18:12	","	2022-02-04 10:18:12	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-04 10:18:26	","	2022-02-04 10:18:26	","	2022-02-04 10:18:26	","	112709080	","	222602451	",,"	delchapter	",1727
,"	2022-02-04 10:18:33	","	2022-02-04 10:18:33	","	2022-02-04 10:18:33	","	112709080	","	222602451	",,"	delchapter	",1727
,"	2022-02-04 10:18:37	","	2022-02-04 10:18:37	","	2022-02-04 10:18:37	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-04 10:19:04	","	2022-02-04 10:19:04	","	2022-02-04 10:19:04	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-04 10:19:09	","	2022-02-04 10:19:09	","	2022-02-04 10:19:09	","	112709080	","	222602451	",,"	editcard	",1727
,"	2022-02-05 10:52:44	","	2022-02-05 10:52:44	","	2022-02-05 10:52:44	","	112709080	","	222602451	",,"	uploadchapterfile	",1727
,"	2022-02-05 10:52:44	","	2022-02-05 10:52:44	","	2022-02-05 10:52:44	","	112709080	","	222602451	",,"	editcard	",1727
,"	2022-02-05 10:53:06	","	2022-02-05 10:53:06	","	2022-02-05 10:53:06	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-05 10:53:25	","	2022-02-05 10:53:25	","	2022-02-05 10:53:25	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-05 10:58:59	","	2022-02-05 10:58:59	","	2022-02-05 10:58:59	","	112709080	","	222602451	",,"	uploadchapterfile	",1727
,"	2022-02-05 10:58:59	","	2022-02-05 10:58:59	","	2022-02-05 10:58:59	","	112709080	","	222602451	",,"	editcard	",1727
,"	2022-02-05 11:13:27	","	2022-02-05 11:13:27	","	2022-02-05 11:13:27	","	147392719	","	222595437	","	50511841	","	accesslog	",1727
,"	2022-02-05 11:13:59	","	2022-02-05 11:13:59	","	2022-02-05 11:13:59	","	147392719	","	222595437	","	50511841	","	accesslog	",1727
,"	2022-02-05 11:19:23	","	2022-02-05 11:19:23	","	2022-02-05 11:19:23	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-05 11:19:48	","	2022-02-05 11:19:48	","	2022-02-05 11:19:48	","	112709080	","	222602451	",,"	renamechapter	",1727
,"	2022-02-05 11:19:51	","	2022-02-05 11:19:51	","	2022-02-05 11:19:51	","	112709080	","	222602451	",,"	createchapter	",1727
,"	2022-02-05 11:20:04	","	2022-02-05 11:20:04	","	2022-02-05 11:20:04	","	112709080	","	222602451	",,"	renamechapter	",1727
