id,insert_time,create_time,last_modify_time,personid,courseid,clazzid,type,fid
"","	2022-03-01 00:01:49	","	2022-03-01 00:01:49	","	2022-03-01 00:01:49	","	111943588	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-03-01 00:22:57	","	2022-03-01 00:22:57	","	2022-03-01 00:22:57	","	153867360	","	222675513	","	51498365	","	accesslog	",1727
"","	2022-03-01 01:18:25	","	2022-03-01 01:18:25	","	2022-03-01 01:18:25	","	147393744	","	222865147	","	51154010	","	accesslog	",1727
"","	2022-03-01 01:20:11	","	2022-03-01 01:20:11	","	2022-03-01 01:20:11	","	147393744	","	222865147	","	51154010	","	accesslog	",1727
"","	2022-03-01 01:33:11	","	2022-03-01 01:33:11	","	2022-03-01 01:33:11	","	147393392	","	222807286	","	51037242	","	accesslog	",1727
"","	2022-03-01 01:33:13	","	2022-03-01 01:33:13	","	2022-03-01 01:33:13	","	147393392	","	222807286	","	50989234	","	accesslog	",1727
"","	2022-03-01 01:43:16	","	2022-03-01 01:43:16	","	2022-03-01 01:43:16	","	147393392	","	222807286	","	51037242	","	accesslog	",1727
"","	2022-03-01 01:43:18	","	2022-03-01 01:43:18	","	2022-03-01 01:43:18	","	147393392	","	222807286	","	50989234	","	accesslog	",1727
"","	2022-03-01 01:44:34	","	2022-03-01 01:44:34	","	2022-03-01 01:44:34	","	147393392	","	222807286	","	50989234	","	workanswer	",1727
"","	2022-03-01 01:44:34	","	2022-03-01 01:44:34	","	2022-03-01 01:44:34	","	147393392	","	222807286	","	50989234	","	workscore	",1727
"","	2022-03-01 01:44:38	","	2022-03-01 01:44:38	","	2022-03-01 01:44:38	","	147393392	","	222807286	","	50989234	","	accesslog	",1727
"","	2022-03-01 08:32:14	","	2022-03-01 08:32:14	","	2022-03-01 08:32:14	","	147390218	","	222865147	","	51154010	","	accesslog	",1727
"","	2022-03-01 08:59:36	","	2022-03-01 08:59:36	","	2022-03-01 08:59:36	","	147383959	","	222807286	","	50989234	","	accesslog	",1727
"","	2022-03-01 09:23:14	","	2022-03-01 09:23:14	","	2022-03-01 09:23:14	","	147393186	","	222865147	","	51154015	","	accesslog	",1727
"","	2022-03-01 09:23:18	","	2022-03-01 09:23:18	","	2022-03-01 09:23:18	","	147393186	","	222865147	","	51154010	","	accesslog	",1727
"","	2022-03-01 09:37:03	","	2022-03-01 09:37:03	","	2022-03-01 09:37:03	","	147374889	","	222820410	",,"	createchapter	",1727
"","	2022-03-01 09:37:28	","	2022-03-01 09:37:28	","	2022-03-01 09:37:28	","	147374889	","	222820410	",,"	renamechapter	",1727
"","	2022-03-01 09:38:14	","	2022-03-01 09:38:14	","	2022-03-01 09:38:14	","	147374889	","	222820410	",,"	createchapter	",1727
"","	2022-03-01 09:38:19	","	2022-03-01 09:38:19	","	2022-03-01 09:38:19	","	147374889	","	222820410	",,"	delchapter	",1727
"","	2022-03-01 09:44:50	","	2022-03-01 09:44:50	","	2022-03-01 09:44:50	","	147374889	","	222820410	",,"	editcard	",1727
"","	2022-03-01 09:44:57	","	2022-03-01 09:44:57	","	2022-03-01 09:44:57	","	147374889	","	222820410	",,"	renamechapter	",1727
"","	2022-03-01 09:47:41	","	2022-03-01 09:47:41	","	2022-03-01 09:47:41	","	147374889	","	222820410	",,"	editcard	",1727
